scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
384,89.8,-7.924351767681627,-11.898404258651041,-3.1067944274947727,-11.7,8.065217,1.570796,20.317521830505626,1.605594879684814,900.7099447778007,56,-13.987546666666667,397,0.00379371692477513,0.9999999999999243,2910,0.9999999999999243,0,0.9999999999999243,2910,16,1.448450072100174e-87,2943,0.0,0
386,90.4,-8.184625087789797,-11.900322760679604,-3.1125949326596647,-11.7,8.273913,1.570796,20.4782237828597,1.5997943745199221,1476.929220851354,56,-13.04788,380,0.0018610274160850994,0.9999999999999997,2911,0.9999999999999998,0,0.9999999999999998,2910,16,2.080693718571283e-139,2953,0.0,0
388,91.0,-8.436370019280819,-11.898828304289149,-3.118679817097533,-11.7,8.482609,1.570796,20.641082026863767,1.5937094900820539,1678.8602390222438,56,-12.594553333333334,391,0.0014498603680970674,1.0,2911,1.0,0,1.0,2910,16,6.217646508697879e-102,2945,0.0,0
390,91.6,-8.664978873798203,-11.89346258643102,-3.1323194014689593,-11.7,8.691304,1.570796,20.807305655810854,1.5800699057106267,864.6116357130569,56,-12.54766666666667,391,0.003751063683323896,1.0,2911,1.0,0,1.0,2910,16,0.0,2996,0.0,0
392,92.2,-8.893775254731866,-11.887062644883846,-3.1348166258397425,-11.7,8.9,1.570796,20.975625633655856,1.5775726813398434,2129.2335188573165,56,-11.632926666666668,321,0.0008640888942628814,1.0,2911,1.0,0,1.0,2911,16,1.7391169949841285e-26,2914,1.7391169949841285e-26,2
394,92.8,-9.119264573615718,-11.881096784782851,-3.134182414847117,-11.7,9.108696,1.570796,21.147850871639818,1.5782068923324692,1363.5840528136855,56,-11.636673333333334,2180,0.001762626370172451,0.9999999999999999,2911,0.9999999999999999,0,0.9999999999999999,2911,16,2.686674875499913e-50,2914,2.686674875499913e-50,2
396,93.4,-9.33935839737148,-11.87878131300372,-3.133171311317581,-11.7,9.317391,1.570796,21.327220857359876,1.5792179958620054,2311.9866410406335,56,-11.367433333333334,2442,0.0006438291601587611,1.0,2910,1.0,0,1.0,2910,16,1.5007165755327552e-106,2952,1.5007165755327552e-106,1
398,94.0,-9.556213400387701,-11.876492707650867,-3.132090072909229,-11.7,9.526087,1.570796,21.50967780156239,1.5802992342703572,1591.039878299683,56,-12.467473333333334,252,0.0012894959720483273,1.0,2910,1.0,0,1.0,2910,16,3.629982363164291e-179,2947,3.629982363164291e-179,1
400,94.6,-9.770379940701194,-11.874293910856055,-3.139076229190594,-11.7,9.734783,1.570796,21.695060232977934,1.5733130779889921,2275.529265499086,56,-11.00074,653,0.0007518554440603016,1.0,2910,1.0,0,1.0,2910,16,3.6796581081072826e-68,2929,0.0,0
402,95.2,-9.974685183260323,-11.871614982494927,-3.139768425190283,-11.7,9.943478,1.570796,21.883212585261813,1.5726208819893037,1531.3410199263471,56,-11.402566666666665,1165,0.0014358104426998978,0.9999999999999999,2910,0.9999999999999999,0,0.9999999999999999,2910,16,9.488079948221275e-130,2928,0.0,0
