scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
804,215.7,0.3708660340829365,11.484003748171768,0.04590166454835788,2.215385,-12.0,0.0,23.556329982825705,0.04590166454835788,852.5600149785158,56,-13.553793333333333,957,0.0025185657095115116,1.0,2910,1.0,0,1.0,2910,1.0,1.0,0,12,1.8524069154877744e-124,2959,1.8524069154877744e-124,1
806,216.3,0.36565179118263963,11.485074785831795,0.0203716686019692,2.423077,-12.0,0.0,23.575023567029355,0.0203716686019692,339.66729997541046,56,-13.531466666666667,2559,0.015210452719805086,0.9982771779835337,2910,0.9982771779835337,0,0.9982771779835337,2910,0.9982771779835337,0.9982771779835337,0,12,3.2041240662202395e-120,2963,0.0,0
808,216.9,0.5700749716275518,11.487261371598287,0.015330097625306658,2.630769,-12.0,0.0,23.577487283770147,0.015330097625306658,2557.4583791915843,56,-9.34864,12,0.000450594920381071,0.9993592161445689,2904,0.9993592161445689,0,0.9993592161445689,2905,0.9993592161445689,0.9993592161445689,0,12,3.967185647515464e-94,2942,0.0,0
810,217.5,0.2849764571392711,11.362656933026123,-0.0018737797680779015,2.838462,-12.0,0.0,23.501787748762272,0.0018737797680779015,124.87259927825623,56,-16.731666666666666,2669,0.07635409454450372,0.6465154792285506,240,0.6465154792285506,0,0.917649777097421,2904,0.6465154792285506,0.917649777097421,0,12,3.028025677659866e-209,2947,0.0,0
812,218.1,0.724028637981902,11.482427709496818,0.0019916158187939926,3.046154,-12.0,0.0,23.596963307355285,0.0019916158187939926,2156.84246801095,56,-10.618573333333334,1723,0.0007363615849930298,0.8548426389005691,2670,0.8548426389005691,0,0.8548426389005691,2670,0.8548426389005691,0.8548426389005691,0,12,1.1414934166067896e-72,2936,0.0,0
814,218.7,0.7837234626034053,11.47965343631715,-0.01026607202329951,3.253846,-12.0,0.0,23.609227662914225,0.01026607202329951,193.68596891811097,56,-18.251693333333336,2528,0.00671637494455428,0.9878750074825646,225,0.005051980251824987,0,0.005051980251824987,2670,0.9878750074825646,0.005051980251824987,1,12,2.0932257692866408e-140,2936,0.0,0
816,219.3,0.9214854856292423,11.466296013664527,-0.017832522346479012,3.461538,-12.0,0.0,23.60336661107243,0.01783252234647901,2469.301999852401,56,-10.143813333333334,48,0.00047259390943299646,0.9967878899646445,2874,5.778538480572022e-07,0,5.778538480572022e-07,17,0.9923314487236046,0.0025262790528365222,2,12,1.4575337232531855e-106,2946,2.084863832273148e-82,2
818,219.9,1.1368899559189216,11.443572915439022,-0.029525870599136344,3.669231,-12.0,0.0,23.57994618749253,0.029525870599136344,2029.8646980086942,56,-10.320566666666668,62,0.0006284543266471563,0.9988163166441979,2874,5.549482674551145e-13,0,5.549482674551145e-13,17,0.9944930713638023,0.001684186035409331,3,12,1.1712854713111009e-151,2929,1.1712854713111009e-151,2
820,220.5,1.3686494159246434,11.457859327323721,-0.02287942328754266,3.876923,-12.0,0.0,23.591579018647284,0.02287942328754266,1643.0461978837357,56,-10.781313333333333,62,0.0008408777627454948,0.9995361273915786,2874,1.0974137868638814e-16,0,1.0974137868638814e-16,17,0.9957538353707464,0.0012631395265570258,4,12,1.3323915144199594e-212,2925,1.3323915144199594e-212,2
822,221.1,-2.5284087297052893,12.087202253629872,-3.1316897880079173,4.084615,-12.0,0.0,24.978498658985036,3.1316897880079173,2517.475830529109,56,-9.553693333333333,13,0.00046901587693346403,0.9999943272149796,2908,0.9999943272149796,1,1.7121133739500118e-295,1,0.996601933739593,0.0010105116212456207,5,13,1.0141393688724255e-46,2919,0.0,0
